ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2020/07/24 16:49:01"
"Settings=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\Genepix settings\2020-07-24-10288622-D0-1.gps"
"GalFile="
"PixelSize=10"
"Wavelengths=532	635"
"ImageFiles=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 1	D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=530, 2800"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4400 [140135]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=580	600"
"ScanPower=100	100"
"LaserPower=1.85	1.42"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	1	1	""	""	960	3210	190	789	1027	3445	335	57	57	63	29	46	100	100	0	708	1511	5321	352	106	106	125	88	70	100	100	0	262816	386803	33.241	15.750	1.216	0.690	1.184	1.050	1.837	0.545	0.475	0.282	732	602	970	1405	1334	2375	256	1614	100	1
0	0	0	1	2	1	""	""	1240	3220	190	793	934	1282	137	64	64	68	29	42	97	96	0	775	1249	2917	233	113	113	122	60	49	98	96	0	239076	319659	29.862	18.783	1.101	0.766	1.097	1.016	1.859	0.433	0.717	0.139	729	662	870	1136	1391	2006	256	1301	100	2
0	0	0	1	3	1	""	""	1500	3210	190	809	805	307	38	63	63	68	32	47	98	97	0	772	855	571	66	109	109	118	59	50	100	100	0	205969	218775	23.031	12.492	1.125	0.995	1.039	0.952	1.809	0.801	0.547	0.170	746	663	742	746	1409	1488	256	1385	100	3
0	0	0	1	4	1	""	""	1780	3210	180	400	357	161	45	62	62	67	30	44	86	82	0	312	316	116	36	111	111	119	53	44	89	82	0	91337	80839	9.667	3.717	1.682	1.439	1.498	1.304	2.045	1.532	0.649	0.750	338	201	295	205	539	500	256	1320	100	4
0	0	0	1	5	1	""	""	2030	3220	190	447	559	1167	208	64	64	68	30	44	95	94	0	349	792	3217	406	108	108	126	163	129	74	27	0	143102	202678	16.367	4.086	1.589	0.724	1.433	1.337	2.116	0.338	0.746	0.668	383	241	495	684	624	1179	256	1372	100	5
0	0	0	1	6	1	""	""	2320	3210	200	404	361	246	68	63	63	67	30	44	81	76	0	306	461	937	203	101	101	120	157	130	66	19	0	114069	145606	9.800	2.172	1.663	0.828	1.363	1.024	2.813	0.208	0.319	0.734	341	205	298	360	546	658	316	1543	100	6
0	0	0	1	7	1	""	""	2590	3210	200	435	425	352	82	64	64	67	27	40	85	83	0	612	1104	4557	412	82	82	96	65	67	89	84	0	134425	348820	13.259	15.508	0.700	0.353	0.677	0.591	2.035	0.066	0.424	-0.515	371	530	361	1022	901	1383	316	1465	100	7
0	0	0	1	8	1	""	""	2860	3220	210	461	489	373	76	63	63	66	28	42	87	84	0	758	1032	1609	155	75	75	88	78	88	93	88	0	154420	326065	15.107	12.103	0.583	0.445	0.575	0.479	2.273	0.192	0.402	-0.779	398	683	426	957	1081	1383	316	1508	100	8
0	0	0	1	9	1	""	""	3130	3220	200	473	465	295	63	61	61	64	27	42	87	83	0	793	886	837	94	70	70	78	68	87	92	89	0	146934	280047	14.852	11.882	0.570	0.495	0.566	0.489	2.150	0.341	0.589	-0.811	412	723	404	816	1135	1220	316	1423	100	9
0	0	0	1	10	1	""	""	3400	3210	200	1515	1350	684	50	67	67	73	49	67	93	91	0	1215	1305	1083	82	75	75	96	113	117	93	90	0	426727	412343	26.061	10.699	1.270	1.043	1.160	1.018	2.133	0.812	0.586	0.345	1448	1140	1283	1230	2588	2513	316	1500	100	10
0	0	0	1	11	1	""	""	3670	3220	190	1718	1634	503	30	76	76	81	51	62	98	96	0	1239	1333	734	55	100	100	122	116	95	99	96	0	418385	341243	30.451	10.440	1.442	1.264	1.371	1.220	1.772	1.169	0.697	0.528	1642	1139	1558	1233	2781	2791	256	1352	100	11
0	0	0	1	12	1	""	""	3940	3210	190	2424	2226	1891	84	66	66	72	46	63	94	91	0	1336	1833	4184	228	98	98	128	198	154	97	95	0	569748	469146	46.826	8.611	1.905	1.245	1.737	1.267	2.658	0.537	0.641	0.930	2358	1238	2160	1735	3596	3895	256	1437	100	12
