	S1-70A	S1-77A	S1-88A	S1-73A	S1-90A	S1-79A	S1-47A	S1-69A	S1-55A	S1-3A	S1-89A	S1-91A	S1-53A	S1-61A	S1-54A	S1-83A	S1-35A	S1-39A	S1-62A	S1-87A	S1-6A	S1-78A	S1-52A	S1-22A	S2-12	S2-64	S2-45	S2-50	S2-35	S2-25	S2-32	S2-56	S2-82	S2-46	S2-55	S2-20	S2-22	S2-80	S2-38	S2-13	S2-4	S2-61	S2-92	S2-54	S2-73	S2-90	S2-88	S2-3	S3-10	S3-71	S3-24	S3-12	S3-73	S3-84	S3-58	S3-45	S3-29	S3-43	S3-27	S3-68	S3-75	S3-14	S3-3	S3-78	S3-81	S3-37	S3-98	S3-23	S3-79	S3-52	S3-91
SNA Vector	-0.6555378971940925	-1.1641408125402117	-0.7212985484685616	-0.7384623017652414	-1.198438040400054	-0.7262104443901315	-0.292817152101996	-0.9965323474948207	-0.3230630766711876	-0.38700639217572036	-0.4384101043515303	-0.03370665370563246	-0.9929813744698056	-0.7630759844962607	-0.6888685468155947	-0.9045131195107676	-0.299891842507492	-0.1809781812632224	-0.6066645749177555	-0.5400676983659828	-0.7991619533626989	-0.5690679890899165	-0.6821553733481588	-0.5930817295191876	-0.6163544425553659	-0.1550349154568673	-0.03633040440542587	0.2559686636980563	-0.15516861163899753	0.3010715095500888	0.08963292298152235	0.7350652728455435	0.13624783255437278	0.35564893132790143	0.6999981573444811	0.40352300147231035	0.5208641832796782	-0.0608378959869219	-0.39601418505560304	0.7993765737374631	0.20226717683729226	-0.1792340598171898	0.5033579196486354	0.15613690548354636	-0.059502433408634564	-0.5416028483350858	0.18502073924722162	-0.9496431404610687	-inf	-0.3180294628258183	-0.6255956267051618	-0.505141957357554	-0.410873135558626	0.32843362235222406	0.09337090639148404	0.2564577966143935	0.0982904562061908	0.16045763092984308	0.22709921043224887	-0.045320657414911245	0.22622944848678578	-0.1963597882119426	0.13415149726867093	-0.2652060879602731	0.3111831424691348	0.19639128302447698	1.193996211657845	0.07058813489042004	0.3834947560861585	-0.5356625057727467	-0.3996842691428195
AAL Vector	-6.052818447742607	-6.084292004374013	-3.0651010218843058	-5.976418781737713	-5.9037062313882105	-6.077569848997947	-6.203109722617779	-3.714046726897498	-6.302682386190039	-6.3680069491397004	-6.295027504177812	-5.784728899932522	-6.147250927816308	-5.56274673456236	-6.1832085769907	-6.881084440937905	-6.359355477476083	-6.4978216706422325	-5.834703754494199	-6.11634384604672	-6.305013253807895	-6.468955898269555	-5.7272159646078125	-6.211492497498266	-4.222879680968636	-6.259815986428804	-6.114734146001228	-6.133206378609564	-6.165390285261382	-5.132766892674963	-6.036337916839175	-5.708520359369598	-5.530281617955645	-5.328729346212825	-5.767720826918362	-5.196526798814839	-5.2353770748617094	-6.21164710952965	-5.246165344415905	-5.249273614473152	-5.344057122871584	-5.589486595169139	-5.2304273903455325	-4.765286471811108	-5.1043593432882375	-4.397147677440707	-5.060276270205967	-4.694570785447729	-inf	-5.396114501478779	-4.155899786387726	-5.912037825865389	-5.882803865217306	-6.293809887755187	-5.327871556617157	-4.988527289674044	-5.98219142434182	-5.266598681534607	-5.404097343213057	-5.428080309049304	-5.503272109435065	-5.438800047567794	-5.090155178821488	-5.085144265684212	-4.779909946348642	-5.475714337675207	-5.361364600962324	-4.457550027969003	-4.997834663990311	-5.692492505364149	-3.505448987894345
MPL Vector	1.3479265698500906	0.4967978327546825	0.6165564440938661	0.8659058014956631	0.7281655089025751	0.5779212730996688	0.5891831178358665	-0.021656115876627937	0.9429719644966497	0.760542879503647	0.8618172261029928	0.849989617487758	0.42331001983014727	0.7241705532805787	0.45785159103049405	0.44211334363499366	0.6411486953599729	0.21839424109395722	0.8933880741117384	0.45766972039277615	0.9175921852234977	0.39604644450265614	0.6035397178310686	0.6685144586561367	-0.26681148054300796	1.261597564966103	0.9969451584678091	1.243474579653649	1.3131611168256578	0.5965279220375705	1.074973571057533	0.7721731610500853	1.1126549911682464	1.3134614147798036	1.3128093607180127	0.8835305558377853	1.1363848583920912	1.7111852197303772	0.3597796986436636	1.4613306322950563	0.8972555943955908	1.2919442271095556	1.3603607206013926	0.8486633178112347	0.8471642132691855	0.9644359600137091	0.5380833538639668	0.7130233979463847	-inf	0.7018291949505142	0.6394395541004563	0.9866604033685331	0.8737579519403292	1.1494964860521633	1.685794129159871	1.3614140107977666	1.4245009699703766	1.276274369020374	0.7772343743540213	1.6001630157983984	0.14531982973736496	1.1462973181509737	0.547502822146865	1.1748049275648367	0.9821769926421782	1.037185417830425	0.7469735278155716	0.43250270097771476	0.929603621352401	1.14337060869662	-0.007332891932569194
STL Vector	-4.571125824432265	-4.417809940745899	-2.9775065311103424	-4.748963051403887	-4.059332257264825	-4.786464597060486	-3.9370233408571402	-2.9476430295912364	-4.821849881296136	-3.6966649991082656	-3.994945215030042	-4.489418193874923	-3.2881883977132995	-3.6119426146469333	-3.674280603755463	-4.71048092045597	-4.918073015261004	-4.246735816370889	-4.199487021973388	-4.088778755245915	-2.7564311659853047	-4.84599463510924	-3.695780424823396	-5.289834087135419	-3.114861169940568	-5.081914825874924	-5.921288304597898	-4.668313368564947	-5.624908126247071	-3.7271108918423033	-4.989838328006712	-3.852848832118097	-5.164643637154386	-4.185028360177108	-3.889437349042638	-4.073725421670756	-5.064493579580205	-5.136134377499416	-4.486192662104921	-5.093575554036692	-3.503630352885671	-4.15607320965115	-4.545455261052224	-4.195243933957256	-4.447477267858481	-5.456283307426716	-4.791668670819677	-4.4936837804337015	-inf	-4.040369732815422	-4.761705941827596	-6.005497400554912	-5.4798904723044055	-3.8933943099854296	-4.439268047899999	-4.796978948929421	-4.181932168904921	-4.998827789229064	-3.9381348717877205	-4.954485392899838	-4.965294176318909	-4.534779685265967	-2.8001520918575307	-4.648972398456387	-4.5941094718439945	-4.539533293441406	-4.256821521538055	-4.031766298036912	-4.616099320963041	-5.02402187028842	-2.8679748841895134
DSA Vector	-2.2838246605332073	-1.753137109634883	-1.7854347697329755	-2.36504387942474	-1.1822074715054736	-3.019510974279892	-1.106236757703185	-0.8906512977765129	-2.662384185301254	-1.1388320582788334	-0.7541809776876769	-2.093072261612266	-2.0591674705571172	-1.159070606751665	-0.940635993274933	-1.6866850893022953	-1.9457581503982326	-1.1226136525593808	-2.2191132788778605	-1.8017644902729146	-0.01978893120662442	-1.822531450998357	-1.3258665774252751	-3.293209034039571	-1.151468068215675	-2.8676638156724805	-3.4107381024627688	-2.8963219082663203	-4.396607075151238	-2.7548423130411104	-3.27225200792715	-2.2916806886539325	-3.1174309316715787	-2.3259245341245323	-2.0846216128962993	-2.3852981394150503	-2.7390930576295216	-3.6930414730557084	-2.515489567749139	-2.644381355056307	-2.5225308568139613	-2.8933721440173588	-2.7396255197039796	-2.4882735909008966	-2.314936218988501	-2.6644272119353403	-2.6392569163215427	-2.0054576211258857	-inf	-2.7695474109784346	-2.3352265059263146	-4.636441116517432	-3.941612057261026	-2.6938737494870715	-3.0845536009203642	-3.035875578248132	-2.5069820404456538	-3.026763352485995	-2.1742239374159458	-3.495011545973305	-2.410299805568335	-2.874020019402675	-0.9881759024175485	-3.3553156405839806	-2.7778734654413166	-3.044469957106747	-1.9362019937221255	-2.0754529733214113	-2.7392533069696823	-3.3103197653531575	-1.2182457045585415
MAA-II Vector	-0.3830684202296998	-1.39055019897753	-0.46979216918838723	-0.9985622735019662	-1.0897634059717358	-1.0281728486348685	-1.2801977355764433	-0.42208267026287793	-0.7831209003966042	-0.8700436214745015	-0.8863259642547402	-0.5704186045083998	-0.8782190323026713	-0.8397406708146438	-0.8011673477409462	-1.204175488825441	-1.1878411990650368	-1.1070766931701481	-0.7146711304044167	-0.8306023613273912	-0.5921435529698437	-1.6222465607175447	-1.251390750314767	-0.6770341764375131	-0.5899634530167993	-0.6850555449002403	-0.478476518323944	-0.3660874978619032	-0.6324716054849736	-0.04018499493938291	0.10567313252905518	-0.3876369451713853	-0.3406113079691742	-0.14787694430880935	-0.0026661046923854227	0.17004955679712033	0.3750840986285374	-0.4432524525205279	-0.3831507799221238	0.13891280265504619	-0.15864991523661953	-0.07381213010186329	0.2821652127191414	0.22958523169791864	-0.12074616052702143	-0.26149727224726227	-0.349832067058568	-0.3520028996761678	-inf	-0.5539012308882663	-0.6580887049500563	-0.8318446487730391	-0.48634970083710893	-0.40718482006178996	-0.13054495786833495	-0.025041102767697165	-0.22722811001474047	-0.007993751762101856	-0.3632098647320403	-0.28916394865420425	-0.2754705258135374	-0.07463420941899977	-0.5201178700149472	-0.33262105981862766	0.23785666242343398	-0.43313448772916197	0.5976221765484011	-0.05199222355579451	0.022339853552320682	-0.131775566067927	-0.237752752350014
MAA Sigma	0.6602236232891452	0.3079123625376004	0.17568539725038626	-0.0474099956723688	-0.11237513782145665	0.14676375795128482	0.1433399236453195	2.8706674607697455	-0.21666746018750052	0.6216041339607873	-0.12047082347120493	0.5000283736699993	-0.10240929657694893	0.17559718966226104	-0.2272234015489576	-0.0742244453575802	-0.2976887803140286	-0.007860102532534777	0.8169187012717334	0.1451867968285788	0.3468203490685863	0.13670056120652493	-0.08330472564350122	0.30115103752507305	2.626879935042721	0.818190528756028	0.821922166860566	0.9038170523008419	0.35617826786990736	1.179717420880893	1.1772183819547546	0.4365798472213975	0.6806116316611295	0.272140995832893	0.6405495487936151	1.0906345720171067	1.3469469779965648	-0.4008709755147154	0.7372273800810084	0.816749194300712	0.7144274011646579	0.19853301476300553	0.49561991546865525	1.0003996547688105	1.3123787176070472	0.6547778346136887	1.138392872831721	0.6882579157407281	-inf	-0.08396040512974051	0.14703540428862868	0.09124454565854734	0.5951353337616615	0.457623349856488	0.8804129761659464	0.8817640986965205	0.615110151575453	1.0444217805311127	0.6490597243860996	0.31699104575630693	1.0213834962670776	0.7879256648042079	0.3258849629508878	0.1255125496532422	0.7935476537891655	0.991587765239637	0.970325313577841	0.9366257752818229	1.083428342988016	0.5058594332592071	3.1247534611295498
SNA Sigma	0.31314540485659226	-0.053329628392882154	0.49782477526713403	0.4865488297370812	0.320544697677046	0.2579002564215925	0.2935493924152941	0.09765952094159279	0.6090108835912252	0.622892070865724	0.44243190414825423	0.688538224639147	-0.09906129232879211	0.7415051310811922	0.2833442974032557	0.06784915215735003	0.6037246238001954	0.7299369976135562	0.417829762550526	0.20663533589231242	0.521881881871702	-0.017962330724602467	0.18087582325063042	0.47950315917714875	-0.22515569044371792	0.4553794714361801	0.4653449224771889	0.71460212070663	0.058075147732557134	0.6431227391423056	0.7688204676973202	1.0660391234087536	0.7781548056022356	0.6551036456654346	0.6903398187414924	0.90179062175158	1.1245340683012306	0.29355660238035447	0.053313571968670814	1.108647231872341	0.6910194829106966	0.6150167934115549	1.1501454969597682	0.5092364939981342	0.6000276683646741	0.5833456632755712	0.9033882472901053	0.3185004752290539	-inf	0.15290352308384614	0.5964482578009137	-0.03465791228884641	0.39144420092720134	0.2531467790415785	0.7087410419172179	0.8363286192272137	0.3359841250169284	0.6951621418523105	0.6483848856121011	0.6011476559483481	0.2969191906108308	0.24359340415424338	0.7680362094111582	0.24108870982515146	0.6575058468642833	0.6304152256938612	0.7867899976176556	0.5809281201372765	0.857931067571869	0.29754533778759407	-0.0210522286881557
MNA-M EY	-0.6389962356019913	-1.6129873493911189	-1.5983855619810683	-1.9428936943191528	-1.268112024597765	-1.804208699401383	-1.569496644131849	-1.540842161001406	-1.2131588144205183	-0.9170529197450878	-1.0990421190490651	-0.46170255815387534	-1.171438941202145	-0.9492529853854172	-1.20579296133812	-1.5221732337937648	-1.5263875636337787	-1.2821435876891454	-0.9956500558367649	-1.8193494561776515	-1.1071021395762295	-1.293818634011643	-1.4702139660069646	-1.0965341819873398	-1.0196702068371788	-1.2616166281911954	-0.9461807216459502	-0.26160183258541864	-0.6212497583476966	0.0987137885080215	-0.4610244130999912	-0.6194503096569562	-0.3577765004532855	-0.31947620245586367	-0.3943768348372078	-0.11810643175733616	0.061011308646163574	-0.8436864900804388	-0.5058240368031206	0.5135232068269219	-0.2578480141440183	-0.23683165279404753	0.35225954508969826	0.07249322661673364	0.07626254523596117	-0.9729415572406064	-0.3748009574575884	-0.72310968656911	-inf	-1.4214439286239147	-0.8359912334504891	-1.132975005962223	-0.7232020993762617	-0.7497963454756085	-0.47191111222565785	-0.047486454533160936	-0.6092290769344622	-0.16022426438603174	-0.3115393018985154	-0.6629783564671728	-1.1076582553029246	-0.26678923540044547	-0.5662269868522671	-0.14623997811476286	-0.11798243592459626	-0.3083548351645515	-0.2189068835979253	-0.03714974797305896	-0.00517597794647179	-0.3269095281675248	-0.6591408997036111
SNA-I EY	0.4392362908692289	-0.09867349528200893	0.288988017612497	0.4759076063029278	0.15664120406754684	0.23858974013855486	0.558284095846045	0.0011247054321965387	0.577548261939397	0.479849541648301	0.3558639688755942	0.7651193201801414	0.3808668201081305	0.40818315799798255	-0.13895635477605253	0.3100794656303024	0.7889994723343091	0.7731362975640819	0.352141182648442	0.2700719247226658	0.342922415845688	0.15430792269925908	0.08729908350708349	-0.10302766101898596	-0.5081433210225424	0.5298938539522282	0.33579055164398586	0.7597818368515206	0.280121679142384	0.49810170628636974	0.6375007604445304	1.1914572463376683	0.5166813254821332	0.7713034925510068	1.1263418049620446	0.6553116640356441	0.7846486483929465	0.34103865992575677	0.10742201174161105	1.0381065943867627	0.3568889512145854	0.33689657477320334	0.8737535470785198	0.4046591560371983	0.3461980409304171	-0.06546447666613124	0.495372645892095	0.029658533434965547	-inf	0.3603235745773584	0.15060149102409695	0.15579674079145278	0.22706293775034272	0.7088460891393157	0.6812087261970627	0.6619461613172294	0.47416903615687	0.9059966686373592	0.43388759928773474	0.3637016987682786	0.5714933783966447	0.20513091166810676	0.6334020783577406	0.09841051394479394	0.5728415787984226	0.4715118980618852	1.527501919464301	0.18558500857489785	0.5937195031731988	0.30123476996207477	-0.1818910745923196
